,content_url,listing_price,time_posted,title
0,sfbay.craigslist.org/pen/apa/6048533690.html,2799.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=16, tm_min=8, tm_sec=31, tm_wday=4, tm_yday=76, tm_isdst=-1)",2 Weeks free !! On Us !!
1,sfbay.craigslist.org/pen/apa/6048515041.html,3185.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=15, tm_min=53, tm_sec=38, tm_wday=4, tm_yday=76, tm_isdst=-1)",Amazing One Bedroom Home - Look and Lease Special!!** 6 weeks free**
2,sfbay.craigslist.org/pen/apa/6048502362.html,3253.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=15, tm_min=43, tm_sec=26, tm_wday=4, tm_yday=76, tm_isdst=-1)",2 Bedroom/1 Bath w/Water View
3,sfbay.craigslist.org/pen/apa/6048494983.html,3300.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=15, tm_min=37, tm_sec=46, tm_wday=4, tm_yday=76, tm_isdst=-1)",COMING SOON! SO LEASE NOW! 1X1
4,sfbay.craigslist.org/pen/apa/6034925835.html,2750.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=15, tm_min=25, tm_sec=13, tm_wday=4, tm_yday=76, tm_isdst=-1)",Charming ground floor unit. Walk to downtown!!
5,sfbay.craigslist.org/pen/apa/6048470216.html,2400.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=15, tm_min=24, tm_sec=43, tm_wday=4, tm_yday=76, tm_isdst=-1)","Looking For A Great Floor plan, Open Kitchen and Nice Cabinets?"
6,sfbay.craigslist.org/pen/apa/6048452952.html,3395.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=15, tm_min=5, tm_sec=37, tm_wday=4, tm_yday=76, tm_isdst=-1)",THE RISE OF RYAN TOWER
7,sfbay.craigslist.org/pen/apa/6048431738.html,2434.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=14, tm_min=50, tm_sec=5, tm_wday=4, tm_yday=76, tm_isdst=-1)","Pool Time Gated Community, Pet Friendly, Social Area w/ BBQ Grill, 1x1"
8,sfbay.craigslist.org/pen/apa/6048379980.html,3156.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=14, tm_min=14, tm_sec=0, tm_wday=4, tm_yday=76, tm_isdst=-1)",One Bedroom With Attached Garage And Water View!
9,sfbay.craigslist.org/pen/apa/6048378536.html,2549.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=14, tm_min=13, tm_sec=2, tm_wday=4, tm_yday=76, tm_isdst=-1)","Pet Friendly, Perfect Location, Visit Your New Home"
10,sfbay.craigslist.org/pen/apa/6048368824.html,2888.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=14, tm_min=6, tm_sec=35, tm_wday=4, tm_yday=76, tm_isdst=-1)","STUNNING, SPACIOUS WATERFRONT APARTMENT! ONE MONTH  FREE"
11,sfbay.craigslist.org/pen/apa/6048310226.html,2847.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=13, tm_min=38, tm_sec=32, tm_wday=4, tm_yday=76, tm_isdst=-1)",High Ceilings! Morning Sun! 1 Bedroom!
12,sfbay.craigslist.org/pen/apa/6048310067.html,2996.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=13, tm_min=28, tm_sec=33, tm_wday=4, tm_yday=76, tm_isdst=-1)","Charming One Bedroom, Prime LocationAvailable For Immediate Move in!"
13,sfbay.craigslist.org/pen/apa/6048298724.html,3200.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=13, tm_min=20, tm_sec=16, tm_wday=4, tm_yday=76, tm_isdst=-1)","Newly Renovated - Available Now - Furnished, Open Concept Apartment"
14,sfbay.craigslist.org/pen/apa/6048263180.html,2495.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=13, tm_min=17, tm_sec=17, tm_wday=4, tm_yday=76, tm_isdst=-1)",Welcome to your new home! Come in and check out this beautiful unit!
15,sfbay.craigslist.org/pen/apa/6048291204.html,3107.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=13, tm_min=15, tm_sec=23, tm_wday=4, tm_yday=76, tm_isdst=-1)",Perfect waterfront 1x1 with hardwood floors and upgraded appliances!
16,sfbay.craigslist.org/pen/apa/6048278012.html,2483.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=13, tm_min=6, tm_sec=51, tm_wday=4, tm_yday=76, tm_isdst=-1)",ONE MONTH FREE! MODERN JUNIOR 1x1 WITH WASHER/DRYER
17,sfbay.craigslist.org/pen/apa/6038231364.html,3200.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=13, tm_min=2, tm_sec=0, tm_wday=4, tm_yday=76, tm_isdst=-1)","Available Now -Furnished, Open Concept 1st Floor Apt- Newly Renovated"
