,text,time_created,user
0,can you add some documentation that explains the return type?,2017-06-04 22:47:17,thunterdb
1,"so this is the magic line, I gather? Because we are using PIL under the hood?

I would love to eventually replace this python UDF by either a scala UDF or a tensorflow resizing element.",2017-06-04 22:48:52,thunterdb
2,any reason why we are not using a named tuple here?,2017-06-04 22:50:14,thunterdb
3,"It depends a little bit on whether we can settle on a shared set of fields for namedTransformers. If we can defining a type (for example a NamedTuple) is a good idea. Right now, `_buildTFGraphForName` added the `graph` field to the dict and does a pass through on the other fields. If fields can change a little from transformer to transformer, having a fixed type is harder and using a dict gives us a bit more flexibility, for example to pass through fields. I think the right choice will be more obvious once we've implemented a few supported models,",2017-06-05 19:00:27,MrBago
4,I'd also like to get the ported over to scala. We'll need to take a little time to figure out what exactly PIL is doing here so we can re-create it.,2017-06-05 20:02:56,MrBago
5,Can you please put a one-line comment explaining what is going on here?,2017-06-04 22:51:40,thunterdb
6,"The original line seems to be the [most recommended from stackoverflow](https://stackoverflow.com/questions/59895/getting-the-source-directory-of-a-bash-script-from-within) to find the location of the script.
",2017-06-05 18:33:59,phi-dbq
7,Thanks!,2017-06-05 20:04:25,MrBago
8,let's remove this TODO (for cleanliness),2017-06-05 21:58:37,sueann
9,indent (and two lines below),2017-06-05 21:59:03,sueann
10,I feel like spark context should be the first argument... I don't know why... spidey senses.,2017-06-05 22:02:37,sueann
11,@rxin `SparkContext.getOrCreate()` is what we want here? ,2017-06-05 22:02:58,sueann
12,"nit : ""miss match"" -> ""mismatch""",2017-06-05 22:03:42,sueann
13,can we rename this function? i have no idea what it's doing from the name,2017-06-05 22:42:49,sueann
14,"yes that works. This was like this for testing in python, but it is not required.",2017-06-06 00:23:03,thunterdb
15,Should I add the Author list here?,2017-06-05 21:29:32,sueann
16,I would put it before the building instruction. The first thing that people should read should be the sentence below.,2017-06-05 23:10:37,thunterdb
17,How about `Deep Learning Pipelines () provides ... . This library is released by Databricks and ...`,2017-06-05 23:11:49,thunterdb
18,people -> users?,2017-06-05 23:14:41,thunterdb
19,is it what people call 'data-parallel' computing? I would put that because it is a popular term for folks.,2017-06-05 23:15:58,thunterdb
20,How about we remove the sentence until we have the announcement?,2017-06-05 23:16:25,thunterdb
21,How about just 'early release'?,2017-06-05 23:16:40,thunterdb
22,spark 2.1.1? We had some issues with 2.1.0,2017-06-05 23:17:09,thunterdb
23,"let's remove the SPARK_HOME, this is something that is said to be set already.",2017-06-05 23:17:40,thunterdb
24,Is that true?,2017-06-05 23:17:50,thunterdb
